                                     | Core 0      
  Instructions                       |  33103699614
  Cycles                             |  27012923009
  IPC                                |         1.23
  Time (ns)                          |  10155234214
  Idle time (ns)                     |        52167
  Idle time (%)                      |         0.0%
Branch predictor stats               |             
  num correct                        |   3336012202
  num incorrect                      |    381059040
  misprediction rate                 |       10.25%
  mpki                               |        11.51
TLB Summary                          |             
  I-TLB                              |             
    num accesses                     |   3631534371
    num misses                       |           91
    miss rate                        |        0.00%
    mpki                             |         0.00
  D-TLB                              |             
    num accesses                     |   9101068548
    num misses                       |     77660587
    miss rate                        |        0.85%
    mpki                             |         2.35
  L2 TLB                             |             
    num accesses                     |     77660678
    num misses                       |     17973081
    miss rate                        |       23.14%
    mpki                             |         0.54
Cache Summary                        |             
  Cache L1-I                         |             
    num cache accesses               |   3631534371
    num cache misses                 |      4611533
    miss rate                        |        0.13%
    mpki                             |         0.14
  Cache L1-D                         |             
    num cache accesses               |   9101068548
    num cache misses                 |    134994002
    miss rate                        |        1.48%
    mpki                             |         4.08
  Cache L2                           |             
    num cache accesses               |    140482940
    num cache misses                 |     56225415
    miss rate                        |       40.02%
    mpki                             |         1.70
  Cache L3                           |             
    num cache accesses               |     57114580
    num cache misses                 |      4275851
    miss rate                        |        7.49%
    mpki                             |         0.13
DRAM summary                         |             
  num dram accesses                  |      7875897
  average dram access latency (ns)   |        56.59
  average dram queueing delay        |         3.16
  average dram bandwidth utilization |        0.00%
Coherency Traffic                    |             
  num loads from dram                |      2977875
  num loads from dram cache          |            0
  num loads from remote cache        |            0
