                                     | Core 0      
  Instructions                       |  69907823891
  Cycles                             |  65527595385
  IPC                                |         1.07
  Time (ns)                          |  24634434355
  Idle time (ns)                     |        97707
  Idle time (%)                      |         0.0%
Branch predictor stats               |             
  num correct                        |   6440157802
  num incorrect                      |    945822629
  misprediction rate                 |       12.81%
  mpki                               |        13.53
TLB Summary                          |             
  I-TLB                              |             
    num accesses                     |   7905339360
    num misses                       |           92
    miss rate                        |        0.00%
    mpki                             |         0.00
  D-TLB                              |             
    num accesses                     |  21345149078
    num misses                       |    452928278
    miss rate                        |        2.12%
    mpki                             |         6.48
  L2 TLB                             |             
    num accesses                     |    452928370
    num misses                       |    173367973
    miss rate                        |       38.28%
    mpki                             |         2.48
Cache Summary                        |             
  Cache L1-I                         |             
    num cache accesses               |   7905339360
    num cache misses                 |     21896097
    miss rate                        |        0.28%
    mpki                             |         0.31
  Cache L1-D                         |             
    num cache accesses               |  21345149078
    num cache misses                 |   1048493831
    miss rate                        |        4.91%
    mpki                             |        15.00
  Cache L2                           |             
    num cache accesses               |   1073904710
    num cache misses                 |    508427308
    miss rate                        |       47.34%
    mpki                             |         7.27
  Cache L3                           |             
    num cache accesses               |    511966801
    num cache misses                 |      9775902
    miss rate                        |        1.91%
    mpki                             |         0.14
DRAM summary                         |             
  num dram accesses                  |     16577791
  average dram access latency (ns)   |        64.05
  average dram queueing delay        |        10.62
  average dram bandwidth utilization |        0.00%
Coherency Traffic                    |             
  num loads from dram                |      7561158
  num loads from dram cache          |            0
  num loads from remote cache        |            0
