                                     | Core 0      
  Instructions                       |  74169712315
  Cycles                             |  84423829854
  IPC                                |         0.88
  Time (ns)                          |  31738281900
  Idle time (ns)                     |          -88
  Idle time (%)                      |        -0.0%
Branch predictor stats               |             
  num correct                        |   7293180266
  num incorrect                      |    954449730
  misprediction rate                 |       11.57%
  mpki                               |        12.87
TLB Summary                          |             
  I-TLB                              |             
    num accesses                     |   9000740378
    num misses                       |           93
    miss rate                        |        0.00%
    mpki                             |         0.00
  D-TLB                              |             
    num accesses                     |  27294202550
    num misses                       |   1386624929
    miss rate                        |        5.08%
    mpki                             |        18.70
  L2 TLB                             |             
    num accesses                     |   1386625022
    num misses                       |    545146528
    miss rate                        |       39.31%
    mpki                             |         7.35
Cache Summary                        |             
  Cache L1-I                         |             
    num cache accesses               |   9000740378
    num cache misses                 |     41403266
    miss rate                        |        0.46%
    mpki                             |         0.56
  Cache L1-D                         |             
    num cache accesses               |  27294202550
    num cache misses                 |   2286937448
    miss rate                        |        8.38%
    mpki                             |        30.83
  Cache L2                           |             
    num cache accesses               |   2340160962
    num cache misses                 |   1602564829
    miss rate                        |       68.48%
    mpki                             |        21.61
  Cache L3                           |             
    num cache accesses               |   1614472654
    num cache misses                 |     39749626
    miss rate                        |        2.46%
    mpki                             |         0.54
DRAM summary                         |             
  num dram accesses                  |     57309304
  average dram access latency (ns)   |        62.06
  average dram queueing delay        |         8.63
  average dram bandwidth utilization |        1.00%
Coherency Traffic                    |             
  num loads from dram                |     36676889
  num loads from dram cache          |            0
  num loads from remote cache        |            0
