                                     | Core 0      
  Instructions                       |  31628091902
  Cycles                             |  31496899103
  IPC                                |         1.00
  Time (ns)                          |  11840939513
  Idle time (ns)                     |        10246
  Idle time (%)                      |         0.0%
Branch predictor stats               |             
  num correct                        |   2789755122
  num incorrect                      |    511189683
  misprediction rate                 |       15.49%
  mpki                               |        16.16
TLB Summary                          |             
  I-TLB                              |             
    num accesses                     |   3574803150
    num misses                       |           90
    miss rate                        |        0.00%
    mpki                             |         0.00
  D-TLB                              |             
    num accesses                     |  10300638748
    num misses                       |    227808654
    miss rate                        |        2.21%
    mpki                             |         7.20
  L2 TLB                             |             
    num accesses                     |    227808744
    num misses                       |     70734746
    miss rate                        |       31.05%
    mpki                             |         2.24
Cache Summary                        |             
  Cache L1-I                         |             
    num cache accesses               |   3574803150
    num cache misses                 |     13513941
    miss rate                        |        0.38%
    mpki                             |         0.43
  Cache L1-D                         |             
    num cache accesses               |  10300638748
    num cache misses                 |    503168471
    miss rate                        |        4.88%
    mpki                             |        15.91
  Cache L2                           |             
    num cache accesses               |    517037013
    num cache misses                 |    179728121
    miss rate                        |       34.76%
    mpki                             |         5.68
  Cache L3                           |             
    num cache accesses               |    180091040
    num cache misses                 |      1957565
    miss rate                        |        1.09%
    mpki                             |         0.06
DRAM summary                         |             
  num dram accesses                  |      3373002
  average dram access latency (ns)   |        57.07
  average dram queueing delay        |         3.64
  average dram bandwidth utilization |        0.00%
Coherency Traffic                    |             
  num loads from dram                |      1346546
  num loads from dram cache          |            0
  num loads from remote cache        |            0
