                                     | Core 0      
  Instructions                       |  31904280889
  Cycles                             |  34932221007
  IPC                                |         0.91
  Time (ns)                          |  13132413913
  Idle time (ns)                     |        10329
  Idle time (%)                      |         0.0%
Branch predictor stats               |             
  num correct                        |   2817583766
  num incorrect                      |    517278775
  misprediction rate                 |       15.51%
  mpki                               |        16.21
TLB Summary                          |             
  I-TLB                              |             
    num accesses                     |   3605601218
    num misses                       |           92
    miss rate                        |        0.00%
    mpki                             |         0.00
  D-TLB                              |             
    num accesses                     |  10401546484
    num misses                       |    362349162
    miss rate                        |        3.48%
    mpki                             |        11.36
  L2 TLB                             |             
    num accesses                     |    362349254
    num misses                       |    144625146
    miss rate                        |       39.91%
    mpki                             |         4.53
Cache Summary                        |             
  Cache L1-I                         |             
    num cache accesses               |   3605601218
    num cache misses                 |     19471949
    miss rate                        |        0.54%
    mpki                             |         0.61
  Cache L1-D                         |             
    num cache accesses               |  10401546484
    num cache misses                 |    749332012
    miss rate                        |        7.20%
    mpki                             |        23.49
  Cache L2                           |             
    num cache accesses               |    769212280
    num cache misses                 |    364716660
    miss rate                        |       47.41%
    mpki                             |        11.43
  Cache L3                           |             
    num cache accesses               |    365131602
    num cache misses                 |      2131547
    miss rate                        |        0.58%
    mpki                             |         0.07
DRAM summary                         |             
  num dram accesses                  |      3721471
  average dram access latency (ns)   |        58.27
  average dram queueing delay        |         4.84
  average dram bandwidth utilization |        0.00%
Coherency Traffic                    |             
  num loads from dram                |      1503911
  num loads from dram cache          |            0
  num loads from remote cache        |            0
