                                     | Core 0      
  Instructions                       |  34002916414
  Cycles                             |  36802958721
  IPC                                |         0.92
  Time (ns)                          |  13835698768
  Idle time (ns)                     |        16271
  Idle time (%)                      |         0.0%
Branch predictor stats               |             
  num correct                        |   2998228764
  num incorrect                      |    545409640
  misprediction rate                 |       15.39%
  mpki                               |        16.04
TLB Summary                          |             
  I-TLB                              |             
    num accesses                     |   3792255779
    num misses                       |        16352
    miss rate                        |        0.00%
    mpki                             |         0.00
  D-TLB                              |             
    num accesses                     |  10870653316
    num misses                       |    379704398
    miss rate                        |        3.49%
    mpki                             |        11.17
  L2 TLB                             |             
    num accesses                     |    379720750
    num misses                       |    158413446
    miss rate                        |       41.72%
    mpki                             |         4.66
Cache Summary                        |             
  Cache L1-I                         |             
    num cache accesses               |   3792255779
    num cache misses                 |     18321909
    miss rate                        |        0.48%
    mpki                             |         0.54
  Cache L1-D                         |             
    num cache accesses               |  10870653316
    num cache misses                 |    747535118
    miss rate                        |        6.88%
    mpki                             |        21.98
  Cache L2                           |             
    num cache accesses               |    766338913
    num cache misses                 |    367078748
    miss rate                        |       47.90%
    mpki                             |        10.80
  Cache L3                           |             
    num cache accesses               |    367565465
    num cache misses                 |      2540102
    miss rate                        |        0.69%
    mpki                             |         0.07
DRAM summary                         |             
  num dram accesses                  |      4435817
  average dram access latency (ns)   |        61.44
  average dram queueing delay        |         8.01
  average dram bandwidth utilization |        0.00%
Coherency Traffic                    |             
  num loads from dram                |      1708500
  num loads from dram cache          |            0
  num loads from remote cache        |            0
