                                     | Core 0      
  Instructions                       |  33064118349
  Cycles                             |  34247420478
  IPC                                |         0.97
  Time (ns)                          |  12874970105
  Idle time (ns)                     |        21425
  Idle time (%)                      |         0.0%
Branch predictor stats               |             
  num correct                        |   3031438769
  num incorrect                      |    479710581
  misprediction rate                 |       13.66%
  mpki                               |        14.51
TLB Summary                          |             
  I-TLB                              |             
    num accesses                     |   3762683894
    num misses                       |           90
    miss rate                        |        0.00%
    mpki                             |         0.00
  D-TLB                              |             
    num accesses                     |  10111349413
    num misses                       |    307657535
    miss rate                        |        3.04%
    mpki                             |         9.30
  L2 TLB                             |             
    num accesses                     |    307657625
    num misses                       |    125928654
    miss rate                        |       40.93%
    mpki                             |         3.81
Cache Summary                        |             
  Cache L1-I                         |             
    num cache accesses               |   3762683894
    num cache misses                 |     17331447
    miss rate                        |        0.46%
    mpki                             |         0.52
  Cache L1-D                         |             
    num cache accesses               |  10111349413
    num cache misses                 |    700107034
    miss rate                        |        6.92%
    mpki                             |        21.17
  Cache L2                           |             
    num cache accesses               |    717839959
    num cache misses                 |    343461461
    miss rate                        |       47.85%
    mpki                             |        10.39
  Cache L3                           |             
    num cache accesses               |    343868316
    num cache misses                 |      2158004
    miss rate                        |        0.63%
    mpki                             |         0.07
DRAM summary                         |             
  num dram accesses                  |      3776668
  average dram access latency (ns)   |        59.76
  average dram queueing delay        |         6.33
  average dram bandwidth utilization |        0.00%
Coherency Traffic                    |             
  num loads from dram                |      1472230
  num loads from dram cache          |            0
  num loads from remote cache        |            0
