                                     | Core 0      
  Instructions                       |  32643997629
  Cycles                             |  30607429583
  IPC                                |         1.07
  Time (ns)                          |  11506552475
  Idle time (ns)                     |        13510
  Idle time (%)                      |         0.0%
Branch predictor stats               |             
  num correct                        |   2734805350
  num incorrect                      |    437672762
  misprediction rate                 |       13.80%
  mpki                               |        13.41
TLB Summary                          |             
  I-TLB                              |             
    num accesses                     |   3361848067
    num misses                       |           92
    miss rate                        |        0.00%
    mpki                             |         0.00
  D-TLB                              |             
    num accesses                     |   9093140874
    num misses                       |    227626136
    miss rate                        |        2.50%
    mpki                             |         6.97
  L2 TLB                             |             
    num accesses                     |    227626228
    num misses                       |     89840518
    miss rate                        |       39.47%
    mpki                             |         2.75
Cache Summary                        |             
  Cache L1-I                         |             
    num cache accesses               |   3361848067
    num cache misses                 |     13620028
    miss rate                        |        0.41%
    mpki                             |         0.42
  Cache L1-D                         |             
    num cache accesses               |   9093140874
    num cache misses                 |    459192239
    miss rate                        |        5.05%
    mpki                             |        14.07
  Cache L2                           |             
    num cache accesses               |    473265855
    num cache misses                 |    257409198
    miss rate                        |       54.39%
    mpki                             |         7.89
  Cache L3                           |             
    num cache accesses               |    257867153
    num cache misses                 |      2066844
    miss rate                        |        0.80%
    mpki                             |         0.06
DRAM summary                         |             
  num dram accesses                  |      3766605
  average dram access latency (ns)   |        57.21
  average dram queueing delay        |         3.78
  average dram bandwidth utilization |        0.00%
Coherency Traffic                    |             
  num loads from dram                |      1516620
  num loads from dram cache          |            0
  num loads from remote cache        |            0
