                                     | Core 0      
  Instructions                       |  62664752624
  Cycles                             |  55523659226
  IPC                                |         1.13
  Time (ns)                          |  20873556100
  Idle time (ns)                     |          -25
  Idle time (%)                      |        -0.0%
Branch predictor stats               |             
  num correct                        |   5118419439
  num incorrect                      |    903687120
  misprediction rate                 |       15.01%
  mpki                               |        14.42
TLB Summary                          |             
  I-TLB                              |             
    num accesses                     |   6501159798
    num misses                       |           92
    miss rate                        |        0.00%
    mpki                             |         0.00
  D-TLB                              |             
    num accesses                     |  17863697290
    num misses                       |    264324517
    miss rate                        |        1.48%
    mpki                             |         4.22
  L2 TLB                             |             
    num accesses                     |    264324609
    num misses                       |     81621785
    miss rate                        |       30.88%
    mpki                             |         1.30
Cache Summary                        |             
  Cache L1-I                         |             
    num cache accesses               |   6501159798
    num cache misses                 |     18045371
    miss rate                        |        0.28%
    mpki                             |         0.29
  Cache L1-D                         |             
    num cache accesses               |  17863697290
    num cache misses                 |    539874030
    miss rate                        |        3.02%
    mpki                             |         8.62
  Cache L2                           |             
    num cache accesses               |    559134931
    num cache misses                 |    266902468
    miss rate                        |       47.73%
    mpki                             |         4.26
  Cache L3                           |             
    num cache accesses               |    268133770
    num cache misses                 |      4077905
    miss rate                        |        1.52%
    mpki                             |         0.07
DRAM summary                         |             
  num dram accesses                  |      7264424
  average dram access latency (ns)   |        55.98
  average dram queueing delay        |         2.55
  average dram bandwidth utilization |        0.00%
Coherency Traffic                    |             
  num loads from dram                |      3095802
  num loads from dram cache          |            0
  num loads from remote cache        |            0
